numero_questao,enunciado,alternativas,gabarito,nu_param_B
80,"Segundo dados do Balanço Energético Nacional de 2008, do Ministério das Minas e Energia, a matriz energética brasileira é composta por hidrelétrica (80%), termelétrica (19,9%) e eólica (0,1%). Nas termelétricas, esse percentual é dividido conforme o combustível usado, sendo: gás natural (6,6%), biomassa (5,3%), derivados de petróleo (3,3%), energia nuclear (3,1%) e carvão mineral (1,6%). Com a geração de eletricidade da biomassa, pode-se considerar que ocorre uma compensação do carbono liberado na queima do material vegetal pela absorção desse elemento no crescimento das plantas. Entretanto, estudos indicam que as emissões de metano (CH4 ) das hidrelétricas podem ser comparáveis às emissões de CO2 das termelétricas. No Brasil, em termos do impacto das fontes de energia no crescimento do efeito estufa, quanto à emissão de gases, as hidrelétricas seriam consideradas como uma fonte","A: limpa de energia, contribuindo para minimizar os efeitos deste fenômeno.; B: eficaz de energia, tomando-se o percentual de oferta e os benefícios verificados.; C: limpa de energia, não afetando ou alterando os níveis dos gases do efeito estufa.; D: poluidora, colaborando com níveis altos de gases de efeito estufa em função de seu potencial de oferta.; E: alternativa, tomando-se por referência a grande emissão de gases de efeito estufa das demais fontes geradoras.",D,1.62683
81,"O peróxido de hidrogênio é comumente utilizado como antisséptico e alvejante. Também pode ser empregado em trabalhos de restauração de quadros enegrecidos e no clareamento de dentes. Na presença de soluções ácidas de oxidantes, como o permanganato de potássio, este óxido decompõe-se, conforme a equação a seguir: 5 H2 O2 (aq) + 2 KMnO4 (aq) + 3 H2 SO4 (aq) 5 O2 (g) + 2 MnSO4 (aq) + K2 SO4 (aq) + 8 H2 O (l) De acordo com a estequiometria da reação descrita, a quantidade de permanganato de potássio necessária para reagir completamente com 20,0 mL de uma solução 0,1 mol/L de peróxido de hidrogênio é igual a","A: 2,0×100 mol.; B: 2,0×10-3 mol.; C: 8,0×10-1 mol.; D: 8,0×10-4 mol.; E: 5,0×10-3 mol.",D,-1.10221
82,"Os vaga-lumes machos e fêmeas emitem sinais luminosos para se atraírem para o acasalamento. O macho reconhece a fêmea de sua espécie e, atraído por ela, vai ao seu encontro. Porém, existe um tipo de vaga-lume, o Photuris, cuja fêmea engana e atrai os machos de outro tipo, o Photinus, fingindo ser desse gênero. Quando o macho Photinus se aproxima da fêmea Photuris, muito maior que ele, é atacado e devorado por ela. a relação descrita no texto, entre a fêmea do gênero Photuris e o macho do gênero Photinus, é um exemplo de",A: comensalismo.; B: inquilinismo.; C: cooperação.; D: predatismo.; E: mutualismo.,D,2.34929
83,"O etanol é considerado um biocombustível promissor, pois, sob o ponto de vista do balanço de carbono, possui uma taxa de emissão praticamente igual a zero. Entretanto, esse não é o único ciclo biogeoquímico associado à produção de etanol. O plantio da canade-açúcar, matéria-prima para a produção de etanol, envolve a adição de macronutrientes como enxofre, nitrogênio, fósforo e potássio, principais elementos envolvidos no crescimento de um vegetal. O nitrogênio incorporado ao solo, como consequência da atividade descrita anteriormente, é transformado em nitrogênio ativo e afetará o meio ambiente, causando","A: o acúmulo de sais insolúveis, desencadeando um processo de salinificação do solo.; B: a eliminação de microrganismos existentes no solo responsáveis pelo processo de desnitrificação.; C: a contaminação de rios e lagos devido à alta solubilidade de íons como NO3 - e NH4 + em água.; D: a diminuição do pH do solo pela presença de NH3 , que reage com a água, formando o NH4 OH (aq).; E: a diminuição da oxigenação do solo, uma vez que o nitrogênio ativo forma espécies químicas do tipo NO2 , NO3 - , N2 O.",C,1.19762
84,"Ao diminuir o tamanho de um orifício atravessado por um feixe de luz, passa menos luz por intervalo de tempo, e próximo da situação de completo fechamento do orifício, verifica-se que a luz apresenta um comportamento como o ilustrado nas figuras. Sabe-se que o som, dentro de suas particularidades, também pode se comportar dessa forma. Em qual das situações a seguir está representado o fenômeno descrito no texto?","A: Ao se esconder atrás de um muro, um menino ouve a conversa de seus colegas.; B: Ao gritar diante de um desfiladeiro, uma pessoa ouve a repetição do seu próprio grito.; C: Ao encostar o ouvido no chão, um homem percebe o som de uma locomotiva antes de ouvi-lo pelo ar.; D: Ao ouvir uma ambulância se aproximando, uma pessoa percebe o som mais agudo do que quando aquela se afasta.; E: Ao emitir uma nota musical muito aguda, uma cantora de ópera faz com que uma taça de cristal se despedace.",A,-0.36102
85,"Um dos processos usados no tratamento do lixo é a incineração, que apresenta vantagens e desvantagens. Em São Paulo, por exemplo, o lixo é queimado a altas temperaturas e parte da energia liberada é transformada em energia elétrica. No entanto, a incineração provoca a emissão de poluentes na atmosfera. Uma forma de minimizar a desvantagem da incineração, destacada no texto, é",A: aumentar o volume do lixo incinerado para aumentar a produção de energia elétrica.; B: fomentar o uso de filtros nas chaminés dos incineradores para diminuir a poluição do ar.; C: aumentar o volume do lixo para baratear os custos operacionais relacionados ao processo.; D: fomentar a coleta seletiva de lixo nas cidades para aumentar o volume de lixo incinerado.; E: diminuir a temperatura de incineração do lixo para produzir maior quantidade de energia elétrica.,B,0.37061
86,"Uma das modalidades presentes nas olimpíadas é o salto com vara. As etapas de um dos saltos de um atleta estão representadas na figura: Desprezando-se as forças dissipativas (resistência do ar e atrito), para que o salto atinja a maior altura possível, ou seja, o máximo de energia seja conservada, é necessário que","A: a energia cinética, representada na etapa I, seja totalmente convertida em energia potencial elástica representada na etapa IV.; B: a energia cinética, representada na etapa II, seja totalmente convertida em energia potencial gravitacional, representada na etapa IV.; C: a energia cinética, representada na etapa I, seja totalmente convertida em energia potencial gravitacional, representada na etapa III.; D: a energia potencial gravitacional, representada na etapa II, seja totalmente convertida em energia potencial elástica, representada na etapa IV.; E: a energia potencial gravitacional, representada na etapa I, seja totalmente convertida em energia potencial elástica, representada na etapa III.",C,0.69393
87,"Os Bichinhos e O Homem Arca de Noé Toquinho & Vinicius de Moraes Nossa irmã, a mosca É feia e tosca Enquanto que o mosquito É mais bonito Nosso irmão besouro Que é feito de couro Mal sabe voar Nossa irmã, a barata Bichinha mais chata É prima da borboleta Que é uma careta Nosso irmão, o grilo Que vive dando estrilo Só pra chatear O poema acima sugere a existência de relações de afinidade ente os animais citados e nós, seres humanos. Respeitando a liberdade poética dos autores, a unidade taxonômica que expressa a afinidade existente entre nós e estes animais é",A: o filo.; B: o reino.; C: a classe.; D: a família.; E: a espécie.,B,0.82654
88,"Certas espécies de algas são capazes de absorver rapidamente compostos inorgânicos presentes na água, acumulando-os durante seu crescimento. Essa capacidade fez com que se pensasse em usá-las como biofiltros para a limpeza de ambientes aquáticos contaminados, removendo, por exemplo, nitrogênio e fósforo de resíduos orgânicos e metais pesados provenientes de rejeitos industriais lançados nas águas. Na técnica do cultivo integrado, animais e algas crescem de forma associada, promovendo um maior equilíbrio ecológico. A utilização da técnica do cultivo integrado de animais e algas representa uma proposta favorável a um ecossistema mais equilibrado porque","A: os animais eliminam metais pesados, que são usados pelas algas para a síntese de biomassa.; B: os animais fornecem excretas orgânicos nitrogenados, que são transformados em gás carbônico pelas algas.; C: as algas usam os resíduos nitrogenados liberados pelos animais e eliminam gás carbônico na fotossíntese, usado na respiração aeróbica.; D: as algas usam os resíduos nitrogenados provenientes do metabolismo dos animais e, durante a síntese de compostos orgânicos, liberam oxigênio para o ambiente.; E: as algas aproveitam os resíduos do metabolismo dos animais e, durante a quimiossíntese de compostos orgânicos, liberam oxigênio para o ambiente.",D,-1.80092
89,"Durante as estações chuvosas, aumentam no Brasil as campanhas de prevenção à dengue, que têm como objetivo a redução da proliferação do mosquito Aedes aegypti, transmissor do vírus da dengue. Que proposta preventiva poderia ser efetivada para diminuir a reprodução desse mosquito?","A: Colocação de telas nas portas e janelas, pois o mosquito necessita de ambientes cobertos e fechados para a sua reprodução.; B: Substituição das casas de barro por casas de alvenaria, haja vista que o mosquito se reproduz na parede das casas de barro.; C: Remoção dos recipientes que possam acumular água, porque as larvas do mosquito se desenvolvem nesse meio.; D: Higienização adequada de alimentos, visto que as larvas do mosquito se desenvolvem nesse tipo de substrato.; E: Colocação de filtros de água nas casas, visto que a reprodução do mosquito acontece em águas contaminadas.",C,0.13736
90,"De acordo com o relatório “A grande sombra da pecuária” (Livestock’s Long Shadow), feito pela Organização das Nações Unidas para a Agricultura e a Alimentação, o gado é responsável por cerca de 18% do aquecimento global, uma contribuição maior que a do setor de transportes. A criação de gado em larga escala contribui para o aquecimento global por meio da emissão de",A: metano durante o processo de digestão.; B: óxido nitroso durante o processo de ruminação.; C: clorofluorcarbono durante o transporte de carne.; D: óxido nitroso durante o processo respiratório.; E: dióxido de enxofre durante o consumo de pastagens.,A,-0.07671
