numero_questao,enunciado,alternativas,nu_param_B,gabarito,year
78,"Um tipo de vaso sanitário que vem substituindo as válvulas de descarga está esquematizado na figura. Ao acionar a alavanca, toda a água do tanque é escoada e aumenta o nível no vaso, até cobrir o sifão. De acordo com o Teorema de Stevin, quanto maior a profundidade, maior a pressão. Assim, a água desce levando os rejeitos até o sistema de esgoto. A válvula da caixa de descarga se fecha e ocorre o seu enchimento. Em relação às válvulas de descarga, esse tipo de sistema proporciona maior economia de água. A característica de funcionamento que garante essa economia é devida",A: à altura do sifão de água.; B: ao volume do tanque de água.; C: à altura do nível de água no vaso.; D: ao diâmetro do distribuidor de água.; E: à eficiência da válvula de enchimento do tanque.,0.37435,B,2011
79,"Moradores sobreviventes da tragédia que destruiu aproximadamente 60 casas no Morro do Bumba, na Zona Norte de Niterói (RJ), ainda defendem a hipótese de o deslizamento ter sido causado por uma explosão provocada por gás metano, visto que esse local foi um lixão entre os anos 1960 e 1980. O gás mencionado no texto é produzido","A: como subproduto da respiração aeróbia bacteriana.; B: pela degradação anaeróbia de matéria orgânica por bactérias.; C: como produto da fotossíntese de organismos pluricelulares autotróficos.; D: pela transformação química do gás carbônico em condições anaeróbias.; E: pela conversão, por oxidação química, do gás carbônico sob condições aeróbias.",2.72363,B,2011
80,"Segundo dados do Balanço Energético Nacional de 2008, do Ministério das Minas e Energia, a matriz energética brasileira é composta por hidrelétrica (80%), termelétrica (19,9%) e eólica (0,1%). Nas termelétricas, esse percentual é dividido conforme o combustível usado, sendo: gás natural (6,6%), biomassa (5,3%), derivados de petróleo (3,3%), energia nuclear (3,1%) e carvão mineral (1,6%). Com a geração de eletricidade da biomassa, pode-se considerar que ocorre uma compensação do carbono liberado na queima do material vegetal pela absorção desse elemento no crescimento das plantas. Entretanto, estudos indicam que as emissões de metano (CH4 ) das hidrelétricas podem ser comparáveis às emissões de CO2 das termelétricas. No Brasil, em termos do impacto das fontes de energia no crescimento do efeito estufa, quanto à emissão de gases, as hidrelétricas seriam consideradas como uma fonte","A: limpa de energia, contribuindo para minimizar os efeitos deste fenômeno.; B: eficaz de energia, tomando-se o percentual de oferta e os benefícios verificados.; C: limpa de energia, não afetando ou alterando os níveis dos gases do efeito estufa.; D: poluidora, colaborando com níveis altos de gases de efeito estufa em função de seu potencial de oferta.; E: alternativa, tomando-se por referência a grande emissão de gases de efeito estufa das demais fontes geradoras.",1.62683,D,2011
81,"O peróxido de hidrogênio é comumente utilizado como antisséptico e alvejante. Também pode ser empregado em trabalhos de restauração de quadros enegrecidos e no clareamento de dentes. Na presença de soluções ácidas de oxidantes, como o permanganato de potássio, este óxido decompõe-se, conforme a equação a seguir: 5 H2 O2 (aq) + 2 KMnO4 (aq) + 3 H2 SO4 (aq) 5 O2 (g) + 2 MnSO4 (aq) + K2 SO4 (aq) + 8 H2 O (l) De acordo com a estequiometria da reação descrita, a quantidade de permanganato de potássio necessária para reagir completamente com 20,0 mL de uma solução 0,1 mol/L de peróxido de hidrogênio é igual a","A: 2,0×100 mol.; B: 2,0×10-3 mol.; C: 8,0×10-1 mol.; D: 8,0×10-4 mol.; E: 5,0×10-3 mol.",-1.10221,D,2011
82,"Os vaga-lumes machos e fêmeas emitem sinais luminosos para se atraírem para o acasalamento. O macho reconhece a fêmea de sua espécie e, atraído por ela, vai ao seu encontro. Porém, existe um tipo de vaga-lume, o Photuris, cuja fêmea engana e atrai os machos de outro tipo, o Photinus, fingindo ser desse gênero. Quando o macho Photinus se aproxima da fêmea Photuris, muito maior que ele, é atacado e devorado por ela. a relação descrita no texto, entre a fêmea do gênero Photuris e o macho do gênero Photinus, é um exemplo de",A: comensalismo.; B: inquilinismo.; C: cooperação.; D: predatismo.; E: mutualismo.,2.34929,D,2011
83,"O etanol é considerado um biocombustível promissor, pois, sob o ponto de vista do balanço de carbono, possui uma taxa de emissão praticamente igual a zero. Entretanto, esse não é o único ciclo biogeoquímico associado à produção de etanol. O plantio da canade-açúcar, matéria-prima para a produção de etanol, envolve a adição de macronutrientes como enxofre, nitrogênio, fósforo e potássio, principais elementos envolvidos no crescimento de um vegetal. O nitrogênio incorporado ao solo, como consequência da atividade descrita anteriormente, é transformado em nitrogênio ativo e afetará o meio ambiente, causando","A: o acúmulo de sais insolúveis, desencadeando um processo de salinificação do solo.; B: a eliminação de microrganismos existentes no solo responsáveis pelo processo de desnitrificação.; C: a contaminação de rios e lagos devido à alta solubilidade de íons como NO3 - e NH4 + em água.; D: a diminuição do pH do solo pela presença de NH3 , que reage com a água, formando o NH4 OH (aq).; E: a diminuição da oxigenação do solo, uma vez que o nitrogênio ativo forma espécies químicas do tipo NO2 , NO3 - , N2 O.",1.19762,C,2011
84,"Ao diminuir o tamanho de um orifício atravessado por um feixe de luz, passa menos luz por intervalo de tempo, e próximo da situação de completo fechamento do orifício, verifica-se que a luz apresenta um comportamento como o ilustrado nas figuras. Sabe-se que o som, dentro de suas particularidades, também pode se comportar dessa forma. Em qual das situações a seguir está representado o fenômeno descrito no texto?","A: Ao se esconder atrás de um muro, um menino ouve a conversa de seus colegas.; B: Ao gritar diante de um desfiladeiro, uma pessoa ouve a repetição do seu próprio grito.; C: Ao encostar o ouvido no chão, um homem percebe o som de uma locomotiva antes de ouvi-lo pelo ar.; D: Ao ouvir uma ambulância se aproximando, uma pessoa percebe o som mais agudo do que quando aquela se afasta.; E: Ao emitir uma nota musical muito aguda, uma cantora de ópera faz com que uma taça de cristal se despedace.",-0.36102,A,2011
85,"Um dos processos usados no tratamento do lixo é a incineração, que apresenta vantagens e desvantagens. Em São Paulo, por exemplo, o lixo é queimado a altas temperaturas e parte da energia liberada é transformada em energia elétrica. No entanto, a incineração provoca a emissão de poluentes na atmosfera. Uma forma de minimizar a desvantagem da incineração, destacada no texto, é",A: aumentar o volume do lixo incinerado para aumentar a produção de energia elétrica.; B: fomentar o uso de filtros nas chaminés dos incineradores para diminuir a poluição do ar.; C: aumentar o volume do lixo para baratear os custos operacionais relacionados ao processo.; D: fomentar a coleta seletiva de lixo nas cidades para aumentar o volume de lixo incinerado.; E: diminuir a temperatura de incineração do lixo para produzir maior quantidade de energia elétrica.,0.37061,B,2011
86,"Uma das modalidades presentes nas olimpíadas é o salto com vara. As etapas de um dos saltos de um atleta estão representadas na figura: Desprezando-se as forças dissipativas (resistência do ar e atrito), para que o salto atinja a maior altura possível, ou seja, o máximo de energia seja conservada, é necessário que","A: a energia cinética, representada na etapa I, seja totalmente convertida em energia potencial elástica representada na etapa IV.; B: a energia cinética, representada na etapa II, seja totalmente convertida em energia potencial gravitacional, representada na etapa IV.; C: a energia cinética, representada na etapa I, seja totalmente convertida em energia potencial gravitacional, representada na etapa III.; D: a energia potencial gravitacional, representada na etapa II, seja totalmente convertida em energia potencial elástica, representada na etapa IV.; E: a energia potencial gravitacional, representada na etapa I, seja totalmente convertida em energia potencial elástica, representada na etapa III.",0.69393,C,2011
87,"Os Bichinhos e O Homem Arca de Noé Toquinho & Vinicius de Moraes Nossa irmã, a mosca É feia e tosca Enquanto que o mosquito É mais bonito Nosso irmão besouro Que é feito de couro Mal sabe voar Nossa irmã, a barata Bichinha mais chata É prima da borboleta Que é uma careta Nosso irmão, o grilo Que vive dando estrilo Só pra chatear O poema acima sugere a existência de relações de afinidade ente os animais citados e nós, seres humanos. Respeitando a liberdade poética dos autores, a unidade taxonômica que expressa a afinidade existente entre nós e estes animais é",A: o filo.; B: o reino.; C: a classe.; D: a família.; E: a espécie.,0.82654,B,2011
88,"Certas espécies de algas são capazes de absorver rapidamente compostos inorgânicos presentes na água, acumulando-os durante seu crescimento. Essa capacidade fez com que se pensasse em usá-las como biofiltros para a limpeza de ambientes aquáticos contaminados, removendo, por exemplo, nitrogênio e fósforo de resíduos orgânicos e metais pesados provenientes de rejeitos industriais lançados nas águas. Na técnica do cultivo integrado, animais e algas crescem de forma associada, promovendo um maior equilíbrio ecológico. A utilização da técnica do cultivo integrado de animais e algas representa uma proposta favorável a um ecossistema mais equilibrado porque","A: os animais eliminam metais pesados, que são usados pelas algas para a síntese de biomassa.; B: os animais fornecem excretas orgânicos nitrogenados, que são transformados em gás carbônico pelas algas.; C: as algas usam os resíduos nitrogenados liberados pelos animais e eliminam gás carbônico na fotossíntese, usado na respiração aeróbica.; D: as algas usam os resíduos nitrogenados provenientes do metabolismo dos animais e, durante a síntese de compostos orgânicos, liberam oxigênio para o ambiente.; E: as algas aproveitam os resíduos do metabolismo dos animais e, durante a quimiossíntese de compostos orgânicos, liberam oxigênio para o ambiente.",-1.80092,D,2011
89,"Durante as estações chuvosas, aumentam no Brasil as campanhas de prevenção à dengue, que têm como objetivo a redução da proliferação do mosquito Aedes aegypti, transmissor do vírus da dengue. Que proposta preventiva poderia ser efetivada para diminuir a reprodução desse mosquito?","A: Colocação de telas nas portas e janelas, pois o mosquito necessita de ambientes cobertos e fechados para a sua reprodução.; B: Substituição das casas de barro por casas de alvenaria, haja vista que o mosquito se reproduz na parede das casas de barro.; C: Remoção dos recipientes que possam acumular água, porque as larvas do mosquito se desenvolvem nesse meio.; D: Higienização adequada de alimentos, visto que as larvas do mosquito se desenvolvem nesse tipo de substrato.; E: Colocação de filtros de água nas casas, visto que a reprodução do mosquito acontece em águas contaminadas.",0.13736,C,2011
90,"De acordo com o relatório “A grande sombra da pecuária” (Livestock’s Long Shadow), feito pela Organização das Nações Unidas para a Agricultura e a Alimentação, o gado é responsável por cerca de 18% do aquecimento global, uma contribuição maior que a do setor de transportes. A criação de gado em larga escala contribui para o aquecimento global por meio da emissão de",A: metano durante o processo de digestão.; B: óxido nitroso durante o processo de ruminação.; C: clorofluorcarbono durante o transporte de carne.; D: óxido nitroso durante o processo respiratório.; E: dióxido de enxofre durante o consumo de pastagens.,-0.07671,A,2011
46,"Para diminuir o acúmulo de lixo e o desperdício de materiais de valor econômico e, assim, reduzir a exploração de recursos naturais, adotou-se, em escala internacional, a política dos três erres: Redução, Reutilização e Reciclagem. Um exemplo de reciclagem é a utilização de",A: garrafas de vidro retornáveis para cerveja ou refrigerante.; B: latas de alumínio como material para fabricação de lingotes.; C: sacos plásticos de supermercado como acondicionantes de lixo caseiro.; D: embalagens plásticas vazias e limpas para acondicionar outros alimentos.; E: garrafas PET recortadas em tiras para fabricação de cerdas de vassouras.,1.096,B,2012
47,"Um dos problemas ambientais vivenciados pela agricultura hoje em dia é a compactação do solo, devida ao intenso tráfego de máquinas cada vez mais pesadas, reduzindo a produtividade das culturas. Uma das formas de prevenir o problema de compactação do solo é substituir os pneus dos tratores por pneus mais","A: largos, reduzindo a pressão sobre o solo.; B: estreitos, reduzindo a pressão sobre o solo.; C: largos, aumentando a pressão sobre o solo.; D: estreitos, aumentando a pressão sobre o solo.; E: altos, reduzindo a pressão sobre o solo.",0.371,A,2012
48,"O milho transgênico é produzido a partir da manipulação do milho original, com a transferência, para este, de um gene de interesse retirado de outro organismo de espécie diferente. A característica de interesse será manifestada em decorrência",A: do incremento do DNA a partir da duplicação do gene transferido.; B: da transcrição do RNA transportador a partir do gene transferido.; C: da expressão de proteínas sintetizadas a partir do DNA não hibridizado.; D: da síntese de carboidratos a partir da ativação do DNA do milho original.; E: da tradução do RNA mensageiro sintetizado a partir do DNA recombinante.;,1.766,E,2012
49,"A produção mundial de alimentos poderia se reduzir a 40% da atual sem a aplicação de controle sobre as pragas agrícolas. Por outro lado, o uso frequente dos agrotóxicos pode causar contaminação em solos, águas superficiais e subterrâneas, atmosfera e alimentos. Os biopesticidas, tais como a piretrina e a coronopilina, têm sido uma alternativa na diminuição dos prejuízos econômicos, sociais e ambientais gerados pelos agrotóxicos. Identifique as funções orgânicas presentes simultaneamente nas estruturas dos dois biopesticidas apresentados:",A: Éter e éster.; B: Cetona e éster.; C: Álcool e cetona.; D: Aldeído e cetona.; E: Éter e ácido carboxílico.,1.118,B,2012
50,"Os carrinhos de brinquedo podem ser de vários tipos. Dentre eles, há os movidos a corda, em que uma mola em seu interior é comprimida quando a criança puxa o carrinho para trás. Ao ser solto, o carrinho entra em movimento enquanto a mola volta à sua forma inicial. O processo de conversão de energia que ocorre no carrinho descrito também é verificado em",A: um dínamo.; B: um freio de automóvel.; C: um motor a combustão.; D: uma usina hidroelétrica.; E: uma atiradeira (estilingue).,-0.203,E,2012
51,"Pesticidas são contaminantes ambientais altamente tóxicos aos seres vivos e, geralmente, com grande persistência ambiental. A busca por novas formas de eliminação dos pesticidas tem aumentado nos últimos anos, uma vez que as técnicas atuais são economicamente dispendiosas e paliativas. A biorremediação de pesticidas utilizando microrganismos tem se mostrado uma técnica muito promissora para essa finalidade, por apresentar vantagens econômicas e ambientais. Para ser utilizado nesta técnica promissora, um microrganismo deve ser capaz de","A: transferir o contaminante do solo para a água.; B: absorver o contaminante sem alterá-lo quimicamente.; C: apresentar alta taxa de mutação ao longo das gerações.; D: estimular o sistema imunológico do homem contra o contaminante.; E: metabolizar o contaminante, liberando subprodutos menos tóxicos ou atóxicos.",0.266,E,2012
52,"Medidas de saneamento básico são fundamentais no processo de promoção de saúde e qualidade de vida da população. Muitas vezes, a falta de saneamento está relacionada com o aparecimento de várias doenças. Nesse contexto, um paciente dá entrada em um pronto atendimento relatando que há 30 dias teve contato com águas de enchente. Ainda informa que nesta localidade não há rede de esgoto e drenagem de águas pluviais e que a coleta de lixo é inadequada. Ele apresenta os seguintes sintomas: febre, dor de cabeça e dores musculares. Relacionando os sintomas apresentados com as condições sanitárias da localidade, há indicações de que o paciente apresenta um caso de",A: difteria.; B: botulismo.; C: tuberculose.; D: leptospirose.; E: meningite meningocócica.,-0.639,D,2012
53,"O rótulo de um desodorante aerossol informa ao consumidor que o produto possui em sua composição os gases isobutano, butano e propano, dentre outras substâncias. Além dessa informação, o rótulo traz, ainda, a inscrição “Não contém CFC”. As reações a seguir, que ocorrem na estratosfera, justificam a não utilização de CFC (clorofluorcarbono ou Freon) nesse desodorante: I) CF2 Cℓ2 CF2 Cℓ + Cℓ UV II) Cℓ + O3 O2 • + CℓO • • • A preocupação com as possíveis ameaças à camada de ozônio (O3) baseia-se na sua principal função: proteger a matéria viva na Terra dos efeitos prejudiciais dos raios solares ultravioleta. A absorção da radiação ultravioleta pelo ozônio estratosférico é intensa o suficiente para eliminar boa parte da fração de ultravioleta que é prejudicial à vida. A finalidade da utilização dos gases isobutano, butano e propano neste aerossol é","A: substituir o CFC, pois não reagem com o ozônio, servindo como gases propelentes em aerossóis.; B: servir como propelentes, pois, como são muito reativos, capturam o Freon existente livre na atmosfera, impedindo a destruição do ozônio.; C: reagir com o ar, pois se decompõem espontaneamente em dióxido de carbono (CO2) e água (H2O), que não atacam o ozônio.; D: impedir a destruição do ozônio pelo CFC, pois os hidrocarbonetos gasosos reagem com a radiação UV, liberando hidrogênio (H2), que reage com o oxigênio do ar (O2), formando água (H2O).;E: destruir o CFC, pois reagem com a radiação UV, liberando carbono (C), que reage com o oxigênio do ar (O2), formando dióxido de carbono (CO2), que é inofensivo para a camada de ozônio.",0.736,A,2012
54,"Em um dia de chuva muito forte, constatou-se uma goteira sobre o centro de uma piscina coberta, formando um padrão de ondas circulares. Nessa situação, observou-se que caíam duas gotas a cada segundo. A distância entre duas cristas consecutivas era de 25 cm e cada uma delas se aproximava da borda da piscina com velocidade de 1,0 m/s. Após algum tempo a chuva diminuiu e a goteira passou a cair uma vez por segundo. Com a diminuição da chuva, a distância entre as cristas e a velocidade de propagação da onda se tornaram, respectivamemente,","A: maior que 25 cm e maior que 1,0 m/s.; B: maior que 25 cm e igual a 1,0 m/s.; C: menor que 25 cm e menor que 1,0 m/s.; D: menor que 25 cm e igual a 1,0 m/s.; E: igual a 25 cm e igual a 1,0 m/s.",0.957,B,2012
55,"O mecanismo que permite articular uma porta (de um móvel ou de acesso) é a dobradiça. Normalmente, são necessárias duas ou mais dobradiças para que a porta seja fixada no móvel ou no portal, permanecendo em equilíbrio e podendo ser articulada com facilidade. No plano, o diagrama vetorial das forças que as dobradiças exercem na porta está representado em",A; B; C; D; E,2.17,D,2012
56,"A figura representa um dos modelos de um sistema de interações entre seres vivos. Ela apresenta duas propriedades, P1 e P2, que interagem em I, para afetar uma terceira propriedade, P3, quando o sistema é alimentado por uma fonte de energia, E. Essa figura pode simular um sistema de campo em que P1 representa as plantas verdes; P2 um animal herbívoro e P3, um animal onívoro. A função interativa I representa a proporção de",A: herbivoria entre P1 e P2.; B: polinização entre P1 e P2.; C: P3 utilizada na alimentação de P1 e P2.; D: P1 ou P2 utilizada na alimentação de P3.; E: energia de P1 e de P2 que saem do sistema.,0.897,D,2012
57,"Muitas espécies de plantas lenhosas são encontradas no cerrado brasileiro. Para a sobrevivência nas condições de longos períodos de seca e queimadas periódicas, próprias desse ecossistema, essas plantas desenvolveram estruturas muito peculiares. As estruturas adaptativas mais apropriadas para a sobrevivência desse grupo de plantas nas condições ambientais do referido ecossistema são:","A: Cascas finas e sem sulcos ou fendas.; B: Caules estreitos e retilíneos.; C: Folhas estreitas e membranosas.; D: Gemas apicais com densa pilosidade.; E: Raízes superficiais, em geral, aéreas.",2.965,D,2012
58,"A própolis é um produto natural conhecido por suas propriedades anti-inflamatórias e cicatrizantes. Esse material contém mais de 200 compostos identificados até o momento. Dentre eles, alguns são de estrutura simples, como é o caso do C6 H5 CO2 CH2 CH3, cuja estrutura está mostrada a seguir. O ácido carboxílico e o álcool capazes de produzir o éster em apreço por meio da reação de esterificação são, respectivamente,",A: ácido benzoico e etanol.; B: ácido propanoico e hexanol.; C: ácido fenilacético e metanol.; D: ácido propiônico e cicloexanol.; E: ácido acético e álcool benzílico.,0.811,A,2012
59,"No Japão, um movimento nacional para a promoção da luta contra o aquecimento global leva o slogan: 1 pessoa, 1 dia, 1 kg de CO2  a menos! A ideia é cada pessoa reduzir em 1 kg a quantidade de CO2 emitida todo dia, por meio de pequenos gestos ecológicos, como diminuir a queima de gás de cozinha. Considerando um processo de combustão completa de um gás de cozinha composto exclusivamente por butano (C4 H10), a mínima quantidade desse gás que um japonês deve deixar de queimar para atender à meta diária, apenas com esse gesto, é de","A: 0,25 kg.; B: 0,33 kg.; C: 1,0 kg.; D: 1,3 kg.; E: 3,0 kg. ",1.372,B,2012
60,"Para melhorar a mobilidade urbana na rede metroviária é necessário minimizar o tempo entre estações. Para isso a administração do metrô de uma grande cidade adotou o seguinte procedimento entre duas estações: a locomotiva parte do repouso com aceleração constante por um terço do tempo de percurso, mantém a velocidade constante por outro terço e reduz sua velocidade com desaceleração constante no trecho final, até parar. Qual é o gráfico de posição (eixo vertical) em função do tempo (eixo horizontal) que representa o movimento desse trem?",A; B; C; D; E,1.315,C,2012
61,"A eficiência das lâmpadas pode ser comparada utilizando a razão, considerada linear, entre a quantidade de luz produzida e o consumo. A quantidade de luz é medida pelo fluxo luminoso, cuja unidade é o lúmen (lm). O consumo está relacionado à potência elétrica da lâmpada que é medida em watt (W). Por exemplo, uma lâmpada incandescente de 40 W emite cerca de 600 lm, enquanto uma lâmpada fluorescente de 40 W emite cerca de 3 000 lm. A eficiência de uma lâmpada incandescente de 40 W é","A: maior que a de uma lâmpada fluorescente de 8 W, que produz menor quantidade de luz.; B: maior que a de uma lâmpada fluorescente de 40 W, que produz menor quantidade de luz.; C: menor que a de uma lâmpada fluorescente de 8 W, que produz a mesma quantidade de luz.; D: menor que a de uma lâmpada fluorescente de 40 W, pois consome maior quantidade de energia.; E: igual a de uma lâmpada fluorescente de 40 W, que consome a mesma quantidade de energia. ",1.226,C,2012
62,"Não é de hoje que o homem cria, artificialmente, variedades de peixes por meio da hibridação. Esta é uma técnica muito usada pelos cientistas e pelos piscicultores porque os híbridos resultantes, em geral, apresentam maior valor comercial do que a média de ambas as espécies parentais, além de reduzir a sobrepesca no ambiente natural. Sem controle, esses animais podem invadir rios e lagos naturais, se reproduzir e",A: originar uma nova espécie poliploide.; B: substituir geneticamente a espécie natural.; C: ocupar o primeiro nível trófico no hábitat aquático.; D: impedir a interação biológica entre as espécies parentais.; E: produzir descendentes com o código genético modificado.,2.288,B,2012
63,"Há milhares de anos o homem faz uso da biotecnologia para a produção de alimentos como pães, cervejas e vinhos. Na fabricação de pães, por exemplo, são usados fungos unicelulares, chamados de leveduras, que são comercializados como fermento biológico. Eles são usados para promover o crescimento da massa, deixando-a leve e macia. O crescimento da massa do pão pelo processo citado é resultante da ",A: liberação de gás carbônico.; B: formação de ácido lático.; C: formação de água.; D: produção de ATP.; E: liberação de calor.,0.65,A,2012
64,"Alguns povos indígenas ainda preservam suas tradições realizando a pesca com lanças, demonstrando uma notável habilidade. Para fisgar um peixe em um lago com águas tranquilas o índio deve mirar abaixo da posição em que enxerga o peixe. Ele deve proceder dessa forma porque os raios de luz",A: refletidos pelo peixe não descrevem uma trajetória retilínea no interior da água.; B: emitidos pelos olhos do índio desviam sua trajetória quando passam do ar para a água.; C: espalhados pelo peixe são refletidos pela superfície da água.; D: emitidos pelos olhos do índio são espalhados pela superfície da água.; E: refletidos pelo peixe desviam sua trajetória quando passam da água para o ar.,0.865,E,2012
65,"Os vegetais biossintetizam determinadas substâncias (por exemplo, alcaloides e flavonoides), cuja estrutura química e concentração variam num mesmo organismo em diferentes épocas do ano e estágios de desenvolvimento. Muitas dessas substâncias são produzidas para a adaptação do organismo às variações ambientais (radiação UV, temperatura, parasitas, herbívoros, estímulo a polinizadores etc.) ou fisiológicas (crescimento, envelhecimento etc.). As variações qualitativa e quantitativa na produção dessas substâncias durante um ano são possíveis porque o material genético do indivíduo",A: sofre constantes recombinações para adaptar-se.; B: muda ao longo do ano e em diferentes fases da vida.; C: cria novos genes para biossíntese de substâncias específicas.; D: altera a sequência de bases nitrogenadas para criar novas substâncias.; E: possui genes transcritos diferentemente de acordo com cada necessidade.,1.289,E,2012
66,"O benzeno é um hidrocarboneto aromático presente no petróleo, no carvão e em condensados de gás natural. Seus metabólitos são altamente tóxicos e se depositam na medula óssea e nos tecidos gordurosos. O limite de exposição pode causar anemia, câncer (leucemia) e distúrbios do comportamento. Em termos de reatividade química, quando um eletrófilo se liga ao benzeno, ocorre a formação de um intermediário, o carbocátion. Por fim, ocorre a adição ou substituição eletrofílica. Com base no texto e no gráfico do progresso da reação apresentada, as estruturas químicas encontradas em I, II e III são, respectivamente:",A; B; C; D; E,2.311,A,2012
67,O manual que acompanha uma ducha higiênica informa que a pressão mínima da água para o seu funcionamento apropriado é de 20 kPa. A figura mostra a instalação hidráulica com a caixa d’água e o cano ao qual deve ser conectada a ducha. O valor da pressão da água na ducha está associado à altura,A: h1.; B: h2.; C: h3.; D: h4.; E: h5.,1.767,C,2012
68,"O menor tamanduá do mundo é solitário e tem hábitos noturnos, passa o dia repousando, geralmente em um emaranhado de cipós, com o corpo curvado de tal maneira que forma uma bola. Quando em atividade, se locomove vagarosamente e emite som semelhante a um assobio. A cada gestação, gera um único filhote. A cria é deixada em uma árvore à noite e é amamentada pela mãe até que tenha idade para procurar alimento. As fêmeas adultas têm territórios grandes e o território de um macho inclui o de várias fêmeas, o que significa que ele tem sempre diversas pretendentes à disposição para namorar! Essa descrição sobre o tamanduá diz respeito ao seu",A: hábitat.; B: biótopo.; C: nível trófico.; D: nicho ecológico.; E: potencial biótico.,1.513,D,2012
69,"Uma dona de casa acidentalmente deixou cair na geladeira a água proveniente do degelo de um peixe, o que deixou um cheiro forte e desagradável dentro do eletrodoméstico. Sabe-se que o odor característico de peixe se deve às aminas e que esses compostos se comportam como bases. Na tabela são listadas as concentrações hidrogeniônicas de alguns materiais encontrados na cozinha, que a dona de casa pensa em utilizar na limpeza da geladeira. Dentre os materiais listados, quais são apropriados para amenizar esse odor?","A: Álcool ou sabão.; B: Suco de limão ou álcool.; C: Suco de limão ou vinagre.; D: Suco de limão, leite ou sabão.; E: Sabão ou carbonato de sódio/barrilha. ",0.753,C,2012
70,"Em uma planície, ocorreu um acidente ambiental em decorrência do derramamento de grande quantidade de um hidrocarboneto que se apresenta na forma pastosa à temperatura ambiente. Um químico ambiental utilizou uma quantidade apropriada de uma solução de para-dodecil-benzenossulfonato de sódio, um agente tensoativo sintético, para diminuir os impactos desse acidente. Essa intervenção produz resultados positivos para o ambiente porque","A: promove uma reação de substituição no hidrocarboneto, tornando-o menos letal ao ambiente.; B: a hidrólise do para-dodecil-benzenossulfonato de sódio produz energia térmica suficiente para vaporizar o hidrocarboneto.; C: a mistura desses reagentes provoca a combustão do hidrocarboneto, o que diminui a quantidade dessa substância na natureza.; D: a solução de para-dodecil-benzenossulfonato possibilita a solubilização do hidrocarboneto.; E: o reagente adicionado provoca uma solidificação do hidrocarboneto, o que facilita sua retirada do ambiente.",2.546,D,2012
71,"Suponha que você seja um consultor e foi contratado para assessorar a implantação de uma matriz energética em um pequeno país com as seguintes características: região plana, chuvosa e com ventos constantes, dispondo de poucos recursos hídricos e sem reservatórios de combustíveis fósseis. De acordo com as características desse país, a matriz energética de menor impacto e risco ambientais é a baseada na energia","A: dos biocombustíveis, pois tem menor impacto ambiental e maior disponibilidade.; B: solar, pelo seu baixo custo e pelas características do país favoráveis à sua implantação.; C: nuclear, por ter menor risco ambiental e ser adequada a locais com menor extensão territorial.; D: hidráulica, devido ao relevo, à extensão territorial do país e aos recursos naturais disponíveis.; E: eólica, pelas características do país e por não gerar gases do efeito estufa nem resíduos de operação.;",-0.365,E,2012
72,"Uma empresa de transportes precisa efetuar a entrega de uma encomenda o mais breve possível. Para tanto, a equipe de logística analisa o trajeto desde a empresa até o local da entrega. Ela verifica que o trajeto apresenta dois trechos de distâncias diferentes e velocidades máximas permitidas diferentes. No primeiro trecho, a velocidade máxima permitida é de 80 km/h e a distância a ser percorrida é de 80 km. No segundo trecho, cujo comprimento vale 60 km, a velocidade máxima permitida é 120 km/h. Supondo que as condições de trânsito sejam favoráveis para que o veículo da empresa ande continuamente na velocidade máxima permitida, qual será o tempo necessário, em horas, para a realização da entrega?","A: 0,7; B: 1,4; C: 1,5; D: 2,0; E: 3,0",0.118,C,2012
73,"Para ligar ou desligar uma mesma lâmpada a partir de dois interruptores, conectam-se os interruptores para que a mudança de posição de um deles faça ligar ou desligar a lâmpada, não importando qual a posição do outro. Esta ligação é conhecida como interruptores paralelos. Este interruptor é uma chave de duas posições constituída por um polo e dois terminais, conforme mostrado nas figuras de um mesmo interruptor. Na Posição I a chave conecta o polo ao terminal superior, e na Posição II a chave o conecta ao terminal inferior. O circuito que cumpre a finalidade de funcionamento descrita no texto é:",A; B; C; D; E,2.336,E,2012
74,"A característica que permite identificar um planeta no céu é o seu movimento relativo às estrelas fixas. Se observarmos a posição de um planeta por vários dias, verificaremos que sua posição em relação às estrelas fixas se modifica regularmente. A figura destaca o movimento de Marte observado em intervalos de 10 dias, registrado da Terra. Qual a causa da forma da trajetória do planeta Marte registrada na figura?","A: A maior velocidade orbital da Terra faz com que, em certas épocas, ela ultrapasse Marte.; B: A presença de outras estrelas faz com que sua trajetória seja desviada por meio da atração gravitacional.; C: A órbita de Marte, em torno do Sol, possui uma forma elíptica mais acentuada que a dos demais planetas.; D: A atração gravitacional entre a Terra e Marte faz com que este planeta apresente uma órbita irregular em torno do Sol.; E: A proximidade de Marte com Júpiter, em algumas épocas do ano, faz com que a atração gravitacional de Júpiter interfira em seu movimento.",2.452,A,2012
